id,name,type,uri,href,popularity,genres,primary_genre,external_url,followers_total,followers_href,number_of_images,first_image_url,last_image_url,images_info
1vCWHaC5f2uS3yhpwWbIA6,Avicii,artist,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,https://api.spotify.com/v1/artists/1vCWHaC5f2uS3yhpwWbIA6,83,edm,edm,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6,23535000,,3,https://i.scdn.co/image/ab6761610000e5ebae07171f989fb39736674113,https://i.scdn.co/image/ab6761610000f178ae07171f989fb39736674113,"url: https://i.scdn.co/image/ab6761610000e5ebae07171f989fb39736674113, height: 640, width: 640; url: https://i.scdn.co/image/ab67616100005174ae07171f989fb39736674113, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f178ae07171f989fb39736674113, height: 160, width: 160"
06HL4z0CvFAxyc27GXpf02,Taylor Swift,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02,https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,98,,,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,137547983,,3,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,https://i.scdn.co/image/ab6761610000f178e672b5f553298dcdccb0e676,"url: https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676, height: 640, width: 640; url: https://i.scdn.co/image/ab67616100005174e672b5f553298dcdccb0e676, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f178e672b5f553298dcdccb0e676, height: 160, width: 160"
3TVXtAsR1Inumwj472S9r4,Drake,artist,spotify:artist:3TVXtAsR1Inumwj472S9r4,https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,97,rap,rap,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,98646925,,3,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,https://i.scdn.co/image/ab6761610000f1784293385d324db8558179afd9,"url: https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9, height: 640, width: 640; url: https://i.scdn.co/image/ab676161000051744293385d324db8558179afd9, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f1784293385d324db8558179afd9, height: 160, width: 160"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,artist,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,94,pop,pop,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,105331375,,3,https://i.scdn.co/image/ab6761610000e5eb6725802588d7dc1aba076ca5,https://i.scdn.co/image/ab6761610000f1786725802588d7dc1aba076ca5,"url: https://i.scdn.co/image/ab6761610000e5eb6725802588d7dc1aba076ca5, height: 640, width: 640; url: https://i.scdn.co/image/ab676161000051746725802588d7dc1aba076ca5, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f1786725802588d7dc1aba076ca5, height: 160, width: 160"
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,artist,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,91,,,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s,82424769,,3,https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36,https://i.scdn.co/image/ab6761610000f1788ae7f2aaa9817a704a87ea36,"url: https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36, height: 640, width: 640; url: https://i.scdn.co/image/ab676161000051748ae7f2aaa9817a704a87ea36, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f1788ae7f2aaa9817a704a87ea36, height: 160, width: 160"
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,artist,spotify:artist:0du5cEVh5yTK9QJze8zA0C,https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C,93,,,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C,71784213,,3,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,https://i.scdn.co/image/ab6761610000f178c36dd9eb55fb0db4911f25dd,"url: https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd, height: 640, width: 640; url: https://i.scdn.co/image/ab67616100005174c36dd9eb55fb0db4911f25dd, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f178c36dd9eb55fb0db4911f25dd, height: 160, width: 160"
3Nrfpe0tUJi4K4DXYWgMUX,BTS,artist,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX,87,k-pop,k-pop,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,79020166,,3,https://i.scdn.co/image/ab6761610000e5ebd642648235ebf3460d2d1f6a,https://i.scdn.co/image/ab6761610000f178d642648235ebf3460d2d1f6a,"url: https://i.scdn.co/image/ab6761610000e5ebd642648235ebf3460d2d1f6a, height: 640, width: 640; url: https://i.scdn.co/image/ab67616100005174d642648235ebf3460d2d1f6a, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f178d642648235ebf3460d2d1f6a, height: 160, width: 160"
7dGJo4pcD2V6oG8kP0tJRR,Eminem,artist,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR,91,"rap, hip hop",rap,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,100734065,,3,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,https://i.scdn.co/image/ab6761610000f178a00b11c129b27a88fc72f36b,"url: https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b, height: 640, width: 640; url: https://i.scdn.co/image/ab67616100005174a00b11c129b27a88fc72f36b, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f178a00b11c129b27a88fc72f36b, height: 160, width: 160"
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,96,,,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,105120924,,3,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,https://i.scdn.co/image/ab6761610000f1789e528993a2820267b97f6aae,"url: https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae, height: 640, width: 640; url: https://i.scdn.co/image/ab676161000051749e528993a2820267b97f6aae, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f1789e528993a2820267b97f6aae, height: 160, width: 160"
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,artist,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU,91,,,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,58393887,,3,https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb,https://i.scdn.co/image/ab6761610000f1781ba8fc5f5c73e7e9313cc6eb,"url: https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb, height: 640, width: 640; url: https://i.scdn.co/image/ab676161000051741ba8fc5f5c73e7e9313cc6eb, height: 320, width: 320; url: https://i.scdn.co/image/ab6761610000f1781ba8fc5f5c73e7e9313cc6eb, height: 160, width: 160"
