Original-Name,Spotify-Name,Spotify-ID,Genres
Adele,Adele,4dpARuHxo51G3z768sgnrY,soft-pop
Aerosmith,Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,classic-rock;-rock
Age-of-Chance,Age-Of-Chance,5rSacVIkHGfnrhFILS7HqN,alternative-dance
Aitana,Aitana,7eLcDZDYHXZCebtQmVFL25,
Al-Green,Al-Green,3dkbV4qihUeMsqN4vBGg93,soul;-motown;-soul-blues
Al-Jarreau,Al-Jarreau,3YR92OLKlvkK5oKNekSqXe,smooth-jazz;-vocal-jazz;-jazz
Al-Stewart,Al-Stewart,0DW7boyjvbaSP3OJ72sXgC,soft-rock
Alan-Parsons,The-Alan-Parsons-Project,2m62cc253Xvd9qYQ8d2X3d,symphonic-rock;-progressive-rock;-classic-rock
Alan-Walker,Alan-Walker,7vk5e3vY1uw9plTHJAMwjN,
Alanis-Morissette,Alanis-Morissette,6ogn9necmbUdCppmNnGOdi,
Alaska,Alaska-Y-Los-Pegamoides,60LKzdjqtmposRWQbVnGAI,
Alejandro-Fernández,Alejandro-Fernández,6sq1yF0OZEWA4xoXVKW1L9,mariachi;-ranchera;-latin-pop;-bolero
Alejandro-Sanz,Alejandro-Sanz,5sUrlPAHlS9NEirDB8SEbF,latin-pop
Alesha-Dixon,Alesha-Dixon,5jLwURKdEPDvuYnac74s9c,uk-funky
Alex-Ubago,Alex-Ubago,2tY2GFdhH0Wa2VBvsxew5X,latin-pop
Alice-Cooper,Alice-Cooper,3EhbVgyfGd7HkpsagwL9GS,glam-rock;-hard-rock;-glam-metal;-proto-punk;-classic-rock
Alice-In-Chains,Alice-In-Chains,64tNsm6TnZe2zpcMVMOoHL,grunge;-post-grunge
Alicia-Keys,Alicia-Keys,3DiDSECUqqY1AuBP8qtaIa,r&b;-neo-soul
All-Saints,All-Saints,5TDVKqW9uhqGjwwwKGuma4,
Alphaville,Alphaville,0xliTEbFfy5HQHvsTknTkX,synthpop
Amaia,Amaia-Montero,4LbuSjHhhAddvN44qXpRJo,
Amaia-Montero,Amaia-Montero,4LbuSjHhhAddvN44qXpRJo,
Amaral,Amaral,4OkeTQCk0fvX6VBYpOOxDi,
America,America,35U9lQaRWSQISxQAB94Meo,soft-rock;-folk-rock
Amistades-peligrosas,Amistades-Peligrosas,15FscPIs0VO23BCCMaPglf,latin-pop;-rock-en-español
Amparanoia,Amparanoia,23xlCr6Espgfu0IQExvjU6,latin-alternative
Amy-MacDonald,Amy-Macdonald,1hJuGCUpefX24GFmss9bjH,
Amy-Winehouse,Amy-Winehouse,6Q192DXotxtaysaqNPy5yR,
Ana-Belén,Ana-Belén,4NOZW7dBOmBMMAG9EGQd4t,trova;-nueva-trova;-singer-songwriter;-bolero
Ana-Guerra,Ana-Guerra,3MRynBsyLGzv3IQ9Fip6hO,
Ana-Mena,Ana-Mena,6k8mwkKJKKjBILo7ypBspl,
Ana-Torroja,Ana-Torroja,5YekZn3GGnPIURNA6RG124,latin-pop
Anastacia,Anastacia,2siHvYaxjaW5rKVRiIrMYH,
Andrea-Bocelli,Andrea-Bocelli,3EA9hVIzKfFiQI0Kikz2wo,opera
Andrea-Corr,Andrés-Torres,4KLOMib6zqzNayKwLWTs2Q,
Andrés-Calamaro,Andrés-Calamaro,3tAICgiSR5PfYY4B8qsoAU,argentine-rock;-rock-en-español;-latin-rock
Andy&Lucas,Andy-&-Lucas,4dqi10p8S91S2ChvcWsi1L,flamenco;-flamenco-pop
Anitta,Anitta,7n7DTfggDvq4Qf2rw7ZJrw,
Annie-Lennox,Annie-Lennox,5MspMQqdVbdwP6ax3GXqum,synthpop
Antonio-Carlos-Jobim,Antônio-Carlos-Jobim,3pO5VjZ4wOHCMBXOvbMISG,bossa-nova;-brazilian-jazz;-mpb;-latin-jazz
Antonio-Flores,Antonio-Flores,6GwZIG7UlxQR6n9kO8QlV6,flamenco;-trova;-singer-songwriter
Antonio-Orozco,Antonio-Orozco,1ADdpen72RPuafRcv0YRBf,flamenco;-flamenco-pop
Antonio-Vega,Antonio-Vega,0r4YtlmJPQk1xhiVKHuPeF,singer-songwriter
Anuel-AA,Anuel-AA,2R21vXR83lH98kGeO99Y66,reggaeton;-trap-latino;-urbano-latino;-latin
Aqua,Aqua-VS,0bcZsLQV8MCeU0ylWbw23p,chilean-trap;-reggaeton-chileno;-chilean-mambo
Arcade-Fire,Arcade-Fire,3kjuyTCjPG1WMFCiyc5IuB,indie-rock;-baroque-pop
Arctic-Monkeys,Arctic-Monkeys,7Ln80lUS6He07XvHI8qqHH,indie;-garage-rock
Aretha-Franklin,Aretha-Franklin,7nwUJBm0HE4ZxD3f5cy5ok,soul;-motown;-jazz-blues
Ariana-Grande,Ariana-Grande,66CXWjxzNUsdJxJ2JdwvnR,pop
Ariel-Rot,Ariel-Rot,5kXK8waG1JeBQ8b5leWNSu,latin-rock;-argentine-rock
Art-Garfunkel,Art-Garfunkel,6kEsKkXuE4olX7m3mNLZkS,
Ashlee-Simpson,Ashlee-Simpson,4hqDqHtBlgxXpLXVYf7c8L,bubblegum-pop
Avicii,Avicii,1vCWHaC5f2uS3yhpwWbIA6,edm
Avril-Lavigne,Avril-Lavigne,0p4nmQO2msCgU4IF37Wi3j,
B.B.-King,B.B.-King,5xLSa7l4IV1gsQfhAMvl0U,blues;-classic-blues;-jazz-blues;-soul-blues;-blues-rock
Backstreet-Boys,Backstreet-Boys,5rSXSAkZ67PYJSvpUpkOr7,
Bad-Bunny,Bad-Bunny,4q3ewBCX7sLwd24euuV69X,reggaeton;-trap-latino;-urbano-latino;-latin
Bad-Religion,Bad-Religion,2yJwXpWAQOOl5XFzbCxLs9,punk;-skate-punk;-hardcore-punk;-melodic-hardcore;-ska-punk
Bananarama,Bananarama,3sc7iUG1Wwpwx7bHeZolgx,hi-nrg
Bangles,Bangles,6cCpaDYJmsHwQD9GTIGHfT,
Barbra-Streisand,Barbra-Streisand,7jmTilWYlKOuavFfmQAcu6,adult-standards
Barricada,Barricada,5llr3wJl6JrJoHSJAR804R,rock-urbano
Barry-White,Barry-White,3rfgbfpPSfXY40lzRK7Syt,disco;-soul;-quiet-storm;-philly-soul
Beastie-Boys,Beastie-Boys,03r4iKL2g2442PT9n2UKsx,rap-rock;-east-coast-hip-hop;-hip-hop
